t,incid
2014-01-02,3
2014-01-03,1
2014-01-04,1
2014-01-05,2
2014-01-06,1
2014-01-08,1
2014-01-09,1
2014-01-10,1
2014-01-13,1
2014-01-15,2
2014-01-22,2
2014-01-26,3
2014-01-27,1
2014-01-28,1
2014-01-29,1
2014-01-30,2
2014-02-01,2
2014-02-05,2
2014-02-06,2
2014-02-07,2
2014-02-09,1
2014-02-11,2
2014-02-14,1
2014-02-18,3
2014-02-19,1
2014-02-21,1
2014-03-02,1
2014-03-08,2
2014-03-09,1
2014-03-12,1
2014-03-13,2
2014-03-16,1
2014-03-17,1
2014-03-20,2
2014-03-25,1
2014-03-26,1
2014-03-30,2
2014-04-03,1
2014-04-05,1
2014-04-06,1
2014-04-07,1
2014-04-13,1
2014-04-15,1
2014-04-19,2
2014-04-20,2
2014-04-21,2
2014-04-22,1
2014-04-23,1
2014-04-24,1
2014-04-25,1
2014-04-28,1
2014-04-30,1
2014-05-07,2
2014-05-13,2
2014-05-20,1
2014-05-22,2
2014-05-23,1
2014-05-24,3
2014-05-25,2
2014-05-26,3
2014-05-28,2
2014-05-29,3
2014-05-30,2
2014-05-31,2
2014-06-01,2
2014-06-05,2
2014-06-06,4
2014-06-07,2
2014-06-08,4
2014-06-09,9
2014-06-10,1
2014-06-11,4
2014-06-12,5
2014-06-13,4
2014-06-14,6
2014-06-15,4
2014-06-16,3
2014-06-17,3
2014-06-19,2
2014-06-20,7
2014-06-21,3
2014-06-22,2
2014-06-23,2
2014-06-24,8
2014-06-25,3
2014-06-26,8
2014-06-27,5
2014-06-28,8
2014-06-29,7
2014-06-30,3
2014-07-01,9
2014-07-02,7
2014-07-03,10
2014-07-04,4
2014-07-05,10
2014-07-06,4
2014-07-07,14
2014-07-08,9
2014-07-09,5
2014-07-10,6
2014-07-11,5
2014-07-12,10
2014-07-13,7
2014-07-14,12
2014-07-15,9
2014-07-16,12
2014-07-17,8
2014-07-18,15
2014-07-19,11
2014-07-20,17
2014-07-21,19
2014-07-22,9
2014-07-23,18
2014-07-24,19
2014-07-25,15
2014-07-26,15
2014-07-27,9
2014-07-28,26
2014-07-29,24
2014-07-30,24
2014-07-31,33
2014-08-01,38
2014-08-02,32
2014-08-03,20
2014-08-04,15
2014-08-05,16
2014-08-06,21
2014-08-07,19
2014-08-08,27
2014-08-09,24
2014-08-10,23
2014-08-11,34
2014-08-12,31
2014-08-13,32
2014-08-14,42
2014-08-15,45
2014-08-16,41
2014-08-17,27
2014-08-18,44
2014-08-19,33
2014-08-20,32
2014-08-21,29
2014-08-22,36
2014-08-23,38
2014-08-24,29
2014-08-25,35
2014-08-26,28
2014-08-27,38
2014-08-28,34
2014-08-29,38
2014-08-30,46
2014-08-31,44
2014-09-01,52
2014-09-02,51
2014-09-03,60
2014-09-04,48
2014-09-05,67
2014-09-06,56
2014-09-07,54
2014-09-08,66
2014-09-09,71
2014-09-10,64
2014-09-11,72
2014-09-12,71
2014-09-13,66
2014-09-14,63
2014-09-15,89
2014-09-16,81
2014-09-17,72
2014-09-18,84
2014-09-19,71
2014-09-20,85
2014-09-21,74
2014-09-22,93
2014-09-23,80
2014-09-24,75
2014-09-25,89
2014-09-26,88
2014-09-27,100
2014-09-28,96
2014-09-29,115
2014-09-30,129
2014-10-01,135
2014-10-02,145
2014-10-03,141
2014-10-04,128
2014-10-05,147
2014-10-06,146
2014-10-07,100
2014-10-08,119
2014-10-09,126
2014-10-10,144
2014-10-11,149
2014-10-12,148
2014-10-13,194
2014-10-14,191
2014-10-15,193
2014-10-16,208
2014-10-17,213
2014-10-18,205
2014-10-19,238
2014-10-20,242
2014-10-21,212
2014-10-22,179
2014-10-23,199
2014-10-24,209
2014-10-25,201
2014-10-26,176
2014-10-27,229
2014-10-28,185
2014-10-29,195
2014-10-30,197
2014-10-31,221
2014-11-01,236
2014-11-02,184
2014-11-03,254
2014-11-04,221
2014-11-05,235
2014-11-06,211
2014-11-07,226
2014-11-08,192
2014-11-09,171
2014-11-10,200
2014-11-11,159
2014-11-12,200
2014-11-13,156
2014-11-14,171
2014-11-15,152
2014-11-16,161
2014-11-17,171
2014-11-18,137
2014-11-19,114
2014-11-20,164
2014-11-21,141
2014-11-22,135
2014-11-23,124
2014-11-24,134
2014-11-25,137
2014-11-26,134
2014-11-27,117
2014-11-28,125
2014-11-29,100
2014-11-30,113
2014-12-01,119
2014-12-02,79
2014-12-03,85
2014-12-04,96
2014-12-05,112
2014-12-06,104
2014-12-07,85
2014-12-08,85
2014-12-09,60
2014-12-10,63
2014-12-11,41
2014-12-12,45
2014-12-13,46
2014-12-14,34
2014-12-15,40
2014-12-16,43
2014-12-17,27
2014-12-18,17
2014-12-19,29
2014-12-20,28
2014-12-21,26
2014-12-22,16
2014-12-23,16
2014-12-24,10
2014-12-25,11
2014-12-26,10
2014-12-27,6
2014-12-28,6
2014-12-29,8
2014-12-30,5
2014-12-31,12
