t,incid
2015-01-01,3
2015-01-02,9
2015-01-03,6
2015-01-04,3
2015-01-05,5
2015-01-06,1
2015-01-07,2
2015-01-08,6
2015-01-09,1
2015-01-10,2
2015-01-11,5
2015-01-12,6
2015-01-13,4
2015-01-14,1
2015-01-15,4
2015-01-16,4
2015-01-17,5
2015-01-18,3
2015-01-19,4
2015-01-20,4
2015-01-21,2
2015-01-22,4
2015-01-23,2
2015-01-24,1
2015-01-25,2
2015-01-26,1
2015-01-27,1
2015-01-28,1
2015-01-31,3
2015-02-01,1
2015-02-02,3
2015-02-03,3
2015-02-04,1
2015-02-05,2
2015-02-06,3
2015-02-08,4
2015-02-10,3
2015-02-11,1
2015-02-14,2
2015-02-18,1
2015-02-19,1
2015-02-23,1
2015-02-25,1
2015-02-26,1
2015-02-27,2
2015-02-28,1
2015-03-01,1
2015-03-03,4
2015-03-04,2
2015-03-05,2
2015-03-06,1
2015-03-08,2
2015-03-10,1
2015-03-11,1
2015-03-12,2
2015-03-13,2
2015-03-14,3
2015-03-20,1
2015-03-23,1
2015-03-24,2
2015-03-25,1
2015-03-26,1
2015-03-29,1
2015-03-31,1
2015-04-01,1
2015-04-02,2
2015-04-03,2
2015-04-04,1
2015-04-08,1
2015-04-09,1
2015-04-10,2
2015-04-11,1
2015-04-12,1
2015-04-16,1
2015-04-17,1
2015-04-19,2
2015-04-20,1
2015-04-25,1
2015-04-26,2
2015-04-28,2
2015-04-29,1
2015-04-30,1
2015-05-01,1
2015-05-06,2
2015-05-07,1
2015-05-09,2
2015-05-10,4
2015-05-11,3
2015-05-16,5
2015-05-17,2
2015-05-18,1
2015-05-19,3
2015-05-20,2
2015-05-22,1
2015-05-23,1
2015-05-26,2
2015-05-27,1
2015-05-28,2
2015-05-29,3
2015-05-31,3
2015-06-01,3
2015-06-02,1
2015-06-03,2
2015-06-04,4
2015-06-05,4
2015-06-06,2
2015-06-07,1
2015-06-08,3
2015-06-09,2
2015-06-10,2
2015-06-11,1
2015-06-12,2
2015-06-13,4
2015-06-14,2
2015-06-15,4
2015-06-16,1
2015-06-17,2
2015-06-18,3
2015-06-20,4
2015-06-21,1
2015-06-22,2
2015-06-23,4
2015-06-24,3
2015-06-25,4
2015-06-26,1
2015-06-27,2
2015-06-29,2
2015-06-30,2
2015-07-01,3
2015-07-02,2
2015-07-03,4
2015-07-04,2
2015-07-05,5
2015-07-06,3
2015-07-07,8
2015-07-08,6
2015-07-09,6
2015-07-10,8
2015-07-11,5
2015-07-12,7
2015-07-13,4
2015-07-14,4
2015-07-15,6
2015-07-16,6
2015-07-17,7
2015-07-18,7
2015-07-19,14
2015-07-20,20
2015-07-21,21
2015-07-22,16
2015-07-23,18
2015-07-24,19
2015-07-25,25
2015-07-26,24
2015-07-27,19
2015-07-28,19
2015-07-29,20
2015-07-30,27
2015-07-31,28
2015-08-01,32
2015-08-02,37
2015-08-03,60
2015-08-04,47
2015-08-05,57
2015-08-06,62
2015-08-07,65
2015-08-08,57
2015-08-09,64
2015-08-10,64
2015-08-11,69
2015-08-12,82
2015-08-13,82
2015-08-14,106
2015-08-15,121
2015-08-16,145
2015-08-17,167
2015-08-18,185
2015-08-19,150
2015-08-20,202
2015-08-21,213
2015-08-22,214
2015-08-23,196
2015-08-24,185
2015-08-25,180
2015-08-26,161
2015-08-27,199
2015-08-28,256
2015-08-29,269
2015-08-30,342
2015-08-31,417
2015-09-01,488
2015-09-02,451
2015-09-03,449
2015-09-04,479
2015-09-05,488
2015-09-06,521
2015-09-07,494
2015-09-08,498
2015-09-09,406
2015-09-10,402
2015-09-11,305
2015-09-12,289
2015-09-13,220
2015-09-14,55
2015-09-15,1
